hanke;kortteli;tontti;asemakaava_lainvoimainen;osa_alue;pienalue;asuinkerrosala;muu_ala;asuntojen_maara;rakentamisvalmiusvuosi;aloitusvuosi;valmistumisvuosi;valmistumisaika;hallinta;hallintasuhde;rahoitusmuoto;hitas;talotyyppi;rakennuttaja;maanomistus;post_code;AAGR;AAGR_vaesto;peruskorko
167;30079;22;3.3.2006 0:00;302 Kuusisaari;3020;3671;0.0;20;1980.0;2004;2005;25.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;TUNTEMATON;Yksityinen;340;0,032642181;0,013160617;2,25
182;4069;8;12.8.1977 0:00;040 Kamppi;401;1148;0.0;32;0.0;2012;2012;0.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;Kovaosaisten ystävät ry;Yksityinen;100;0,056069056;0,006663735;2
185;29049;3;5.12.2013 0:00;291 Etelä-Haaga;2913;1700;0.0;46;0.0;2016;2016;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;TAITOKAARI OY;Kaupunki;320;0,049761074;0,001374049;0
204;28076;4;6.11.1998 0:00;284 Patola;2847;509;0.0;4;1954.0;2017;2018;64.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;640;0,040286709;0,004846156;0
236;7100;1;8.6.2007 0:00;070 Ullanlinna;702;5750;850.0;26;2007.0;2007;2010;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;YIT;Yksityinen;140;0,051625256;0,002428689;3,75
237;35040;9;29.11.1972 0:00;351 Paloheinä;3511;493;0.0;5;0.0;2013;2013;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;MUURAMEKODIT OY;Yksityinen;670;0,035344065;0,001734751;0,75
238;34001;8;21.5.1982 0:00;342 Itä-Pakila;3421;679;0.0;7;1980.0;2001;2002;22.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;TUNTEMATON;Yksityinen;680;0,038492909;0,00067423;5,25
240;35040;12;29.11.1972 0:00;351 Paloheinä;3511;488;0.0;5;0.0;2013;2013;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;MESTA OY;Yksityinen;670;0,035344065;0,001734751;0,75
249;27930;2;9.8.2013 0:00;270 Vanhakaupunki;2700;450;0.0;3;0.0;2016;2016;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;STATE CONTROL OY;Kaupunki myy / myynyt;560;0,060719974;0,077007984;0
270;38161;1;21.4.1964 0:00;382 Ala-Malmi;3823;2750;313.0;25;1980.0;2001;2002;22.0;ARA-vuokra;Vuokra-asuntoja;Valtion tuki;Ei Hitas;Kerrostalo;ETELÄ-SUOMEN YH-RAKENNUTTAJA;Kaupunki;700;0,033210111;0,014907912;5,25
273;49151;1;9.2.1979 0:00;492 Jollas;4921;211;0.0;1;1987.0;1997;2002;15.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;MUU RAKENNUTTAJA;Yksityinen;850;0,049523782;0,003501452;0
286;1016;7;14.1.1983 0:00;010 Kruununhaka;104;3400;0.0;40;0.0;2013;2015;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;WESTPRO CC OY;Valtio;170;0,04949049;0,0016299;0,75
306;4087;4;5.12.2014 0:00;040 Kamppi;405;6350;0.0;51;0.0;2015;2016;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;TAITOKAARI OY;Yksityinen;120;0,057234873;0,006663735;0,25
316;34156;5;12.3.1982 0:00;341 Länsi-Pakila;3413;196;43.0;2;1980.0;1996;2002;22.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;TUNTEMATON;Yksityinen;660;0,037223429;0,003984467;0
329;46146;21;4.8.1975 0:00;463 Reimarla;4633;356;0.0;3;1980.0;1999;2000;20.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;OMATOIMINEN RAK.;Kaupunki;370;0,032807804;0,001888561;0
346;28163;14;5.10.1953 0:00;284 Patola;2848;192;0.0;1;1990.0;1998;2001;11.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;TUNTEMATON;Yksityinen;640;0,040286709;0,004846156;0
