hanke;kortteli;tontti;asemakaava_lainvoimainen;osa_alue;pienalue;asuinkerrosala;muu_ala;asuntojen_maara;rakentamisvalmiusvuosi;aloitusvuosi;valmistumisvuosi;valmistumisaika;hallinta;hallintasuhde;rahoitusmuoto;hitas;erityisryhmä;talotyyppi;rakennuttaja;maanomistus;post_code;AAGR;AAGR_vaesto;peruskorko
2571;40028;2;1978-02-24 00:00:00;401 Siltamäki;4012;2500;0.0;7;2002.0;2007;2008;6.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Muu erityisryhmä;Kerrostalo;K.OY NIEMIKOTITALOT/YH-SUOMI;Kaupunki;740;2,93341527;0,759490658;3,75
2572;29049;1;2003-10-24 00:00:00;291 Etelä-Haaga;2913;650;0.0;8;2003.0;2010;2011;8.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;MESTA OY;Yksityinen;320;4,976107362;0,137404862;1,25
2573;40176;8;2015-03-06 00:00:00;401 Siltamäki;4015;2000;0;31;0;2016;2017;0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;VVO KODIT OY;Kaupunki myy / myynyt;740;2,93341527;0,759490658;0
2574;30206;5;2009-03-27 00:00:00;303 Lehtisaari;3031;2200;100.0;30;2010.0;2021;2023;13.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;NEWIL & BAU;Yksityinen;340;3,264218076;0,271067372;-0,5
2577;36035;4;2005-04-15 00:00:00;361 Viikinranta;3611;6400;0.0;84;2004.0;2011;2012;8.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Ei erityisryhmää;Kerrostalo;ATT;Kaupunki;560;6,071997415;8,511115416;1,5
2579;45454;51;2002-12-20 00:00:00;451 Vartioharju;4512;131;0.0;1;2002.0;2015;2016;14.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;950;4,011226385;0,180441803;0,25
2580;40176;9;2015-03-06 00:00:00;401 Siltamäki;4015;1600;0;25;0;2016;2017;0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;VVO KODIT OY;Yksityinen;740;2,93341527;0,759490658;0
2581;45033;5;2003-11-20 00:00:00;455 Marjaniemi;4550;324;0.0;2;1999.0;2003;2004;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;TUNTEMATON;Yksityinen;930;3,818994402;0,462123526;3,25
2582;39355;21;2002-03-22 00:00:00;403 Töyrynummi;4033;190;0.0;1;2002.0;2004;2005;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;740;2,93341527;-1,570121738;2,25
2584;45457;3;2002-04-26 00:00:00;451 Vartioharju;4512;280;0.0;2;2002.0;2004;2005;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;950;4,011226385;0,180441803;2,25
2585;45446;26;2002-04-26 00:00:00;451 Vartioharju;4512;240;0.0;2;2002.0;2008;2010;8.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;950;4,011226385;0,180441803;4,75
2586;45446;27;2002-04-26 00:00:00;451 Vartioharju;4512;186;0.0;1;2002.0;2004;2005;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;950;4,011226385;0,180441803;2,25
2588;54051;2;2003-06-06 00:00:00;541 Keski-Vuosaari;5418;1200;0.0;18;2002.0;2009;2009;7.0;Välimuoto;Asumisoikeusasuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Ei erityisryhmää;Kerrostalo;TA-YHTIÖT;Yksityinen;960;3,814744686;0,898424412;5
2589;40031;6;2002-05-17 00:00:00;401 Siltamäki;4012;138;0.0;1;2001.0;2001;2002;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;740;2,93341527;0,759490658;5,25
2590;38060;9;2018-05-08 00:00:00;382 Ala-Malmi;3825;4750;650.0;86;0;2022;2023;0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;POHJOLA RAKENNUS OY;Yksityinen;700;3,321011103;1,490791185;-0,5
2595;14484;39;2013-12-05 00:00:00;140 Taka-Töölö;1405;5400;2960.0;18;2011.0;2015;2016;5.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;AURATUM ASUNNOT OY;Valtio;260;5,273547066;0,234469412;0,25
2597;33164;14;2004-07-09 00:00:00;331 Kannelmäki;3311;5300;0.0;66;2004.0;2007;2008;4.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;YIT;Yksityinen;420;3,889135139;0,066129681;3,75
2605;28324;2;2009-09-11 00:00:00;282 Maunula;2822;2600;0.0;37;2009.0;2012;2012;3.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Vanhukset;Kerrostalo;SATO-RAKENNUTTAJAT OY;Kaupunki myy / myynyt;630;4,30140536;-0,081362293;2
2606;28327;1;2009-09-11 00:00:00;282 Maunula;2822;1447;0.0;10;2012.0;2017;2018;6.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Ei erityisryhmää;Rivitalo;MAXBUILD OY;Kaupunki;630;4,30140536;-0,081362293;0
2607;28317;2;2009-09-11 00:00:00;282 Maunula;2822;1600;0.0;18;2009.0;2014;2015;6.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;MESTA OY;Kaupunki myy / myynyt;630;4,30140536;-0,081362293;0,5
2608;34174;1;2009-09-11 00:00:00;341 Länsi-Pakila;3412;2343;0.0;16;2009.0;2011;2011;2.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Ei erityisryhmää;Rivitalo;FINNDOMO RAKENNUS OY;Kaupunki;630;4,30140536;0,398446727;1,5
2609;28325;1;2009-09-11 00:00:00;282 Maunula;2822;85;0.0;1;2009.0;2015;2016;7.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;630;4,30140536;-0,081362293;0,25
2610;28325;2;2009-09-11 00:00:00;282 Maunula;2822;85;0.0;1;2009.0;2018;2019;10.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;630;4,30140536;-0,081362293;-0,25
2611;28325;3;2009-09-11 00:00:00;282 Maunula;2822;85;0.0;1;2009.0;2015;2016;7.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;630;4,30140536;-0,081362293;0,25
2613;36116;1;2005-05-27 00:00:00;364 Viikinmäki;3640;1850;0.0;15;2007.0;2011;2012;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;PEAB OY;Kaupunki myy / myynyt;710;3,572011567;76,45817824;1,5
2614;36263;1;2007-06-21 00:00:00;364 Viikinmäki;3640;1440;0.0;14;2006.0;2021;2022;16.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Ei erityisryhmää;Pientalo;FIMMA OY;Kaupunki;710;3,572011567;76,45817824;-0,5
2615;36118;2;2005-05-27 00:00:00;364 Viikinmäki;3640;1350;0.0;22;2008.0;2014;2015;7.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;OPTIMIKODIT OY;Kaupunki myy / myynyt;710;3,572011567;76,45817824;0,5
2616;45585;2;2009-08-07 00:00:00;454 Myllypuro;4546;3300;0.0;27;2010.0;2012;2014;4.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Ei erityisryhmää;Kerrostalo;ATT;Kaupunki;920;4,03674203;1,644955127;2
2617;47297;1;2009-08-07 00:00:00;475 Kurkimäki;4750;180;0.0;1;2016.0;2018;2018;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;920;4,03674203;-0,031960342;-0,25
2618;47298;1;2009-08-07 00:00:00;475 Kurkimäki;4750;6800;0.0;91;2012.0;2016;2017;5.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Ei erityisryhmää;Kerrostalo;ATT;Kaupunki;920;4,03674203;-0,031960342;0
2619;4077;21;1982-11-05 00:00:00;040 Kamppi;407;4185;0;41;0;2016;2018;0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;VVO KODIT OY;Yksityinen;180;5,720427935;0,666373535;0
2625;20019;5;2009-08-07 00:00:00;203 Jätkäsaari;2031;5180;320.0;118;2009.0;2011;2012;3.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Nuoriso;Kerrostalo;ALKUASUNNOT;Kaupunki;180;5,720427935;9,238506816;1,5
2626;20800;1;2009-08-07 00:00:00;203 Jätkäsaari;2031;4500;500.0;61;2009.0;2012;2013;4.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Ei erityisryhmää;Kerrostalo;HEM I STAN RY;Kaupunki;180;5,720427935;9,238506816;2
2669;42055;1;1959-05-30 00:00:00;420 Kulosaari;4205;2300;0;8;0;2016;2017;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;AS.OY RAKENNUTTAA;Yksityinen;570;4,726472016;0,408710197;0
2670;45472;7;2002-05-18 00:00:00;451 Vartioharju;4512;144;0.0;1;2002.0;2002;2002;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;TUNTEMATON;Yksityinen;950;4,011226385;0,180441803;3,5
2672;45281;18;2002-05-17 00:00:00;451 Vartioharju;4511;155;0.0;1;2002.0;2020;2020;18.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;950;4,011226385;0,180441803;-0,25
2673;38222;6;2018-05-08 00:00:00;382 Ala-Malmi;3825;6000;9300.0;143;0;2021;2023;0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;NREP;Yksityinen;700;3,321011103;1,490791185;-0,5
2674;29055;7;2011-10-28 00:00:00;291 Etelä-Haaga;2914;500;0.0;1;2020.0;2019;2020;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;320;4,976107362;0,137404862;-0,25
2676;45463;5;2002-08-02 00:00:00;451 Vartioharju;4512;200;0.0;2;2002.0;2003;2004;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;950;4,011226385;0,180441803;3,25
2677;41269;17;2002-08-09 00:00:00;411 Puistola;4111;172;0.0;1;2003.0;2003;2004;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;TUNTEMATON;Yksityinen;760;3,333752072;-0,103618172;3,25
2678;5090;25;2002-10-11 00:00:00;050 Punavuori;502;1065;300.0;11;2003.0;2004;2005;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;YIT;Yksityinen;120;5,723487286;0,587493052;2,25
2679;45027;15;2003-11-20 00:00:00;455 Marjaniemi;4550;514;0.0;1;2002.0;2003;2004;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;930;3,818994402;0,462123526;3,25
2680;45027;14;2003-11-20 00:00:00;455 Marjaniemi;4550;375;77.0;1;2002.0;2003;2004;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;930;3,818994402;0,462123526;3,25
2681;43141;2;2008-01-25 00:00:00;431 Länsi-Herttoniemi;4316;13500;0.0;176;2007.0;2010;2012;5.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;ELÄKE-VARMA;Kaupunki myy / myynyt;810;5,694967673;0,327454298;1,25
2682;41261;17;1977-12-29 00:00:00;411 Puistola;4111;548;0.0;4;2002.0;2003;2003;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;750;3,295993573;-0,103618172;3,25
2683;36030;10;2003-06-27 00:00:00;361 Viikinranta;3611;3450;0.0;46;2003.0;2003;2005;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;YIT;Yksityinen;560;6,071997415;8,511115416;3,25
2684;36030;11;2003-06-27 00:00:00;361 Viikinranta;3611;2850;0.0;31;2003.0;2006;2007;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;YIT;Yksityinen;560;6,071997415;8,511115416;2,5
2685;36030;12;2003-06-27 00:00:00;361 Viikinranta;3611;3300;0.0;37;2003.0;2004;2005;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;YIT;Yksityinen;560;6,071997415;8,511115416;2,25
2686;36030;13;2003-06-27 00:00:00;361 Viikinranta;3611;2850;0.0;39;2003.0;2007;2008;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;YIT;Yksityinen;560;6,071997415;8,511115416;3,75
2687;36030;14;2003-06-27 00:00:00;361 Viikinranta;3611;2850;0.0;34;2003.0;2009;2009;6.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;YIT;Yksityinen;560;6,071997415;8,511115416;5
2688;36032;2;2003-06-27 00:00:00;361 Viikinranta;3611;1350;0.0;13;2003.0;2008;2009;6.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;VVO;Yksityinen;560;6,071997415;8,511115416;4,75
2717;40178;5;2015-03-06 00:00:00;401 Siltamäki;4015;1200;0;16;2018.0;2018;2019;1.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hintakontrolloitu;Ei erityisryhmää;Rivitalo;OPTIMIKODIT OY;Kaupunki;740;2,93341527;0,759490658;-0,25
2718;45185;02a;2004-04-16 00:00:00;454 Myllypuro;4546;6000;3600.0;92;2004.0;2010;2011;7.0;Sääntelemätön;Vuokra-asuntoja;Lyhyt korkotuki (elvytys 2008);Ei Hitas;Ei erityisryhmää;Kerrostalo;ILMARINEN;Kaupunki;920;4,03674203;1,644955127;1,25
2719;45541;1;2004-04-16 00:00:00;454 Myllypuro;4546;2500;1500.0;48;2004.0;2011;2012;8.0;Sääntelemätön;Vuokra-asuntoja;Lyhyt korkotuki (elvytys 2008);Ei Hitas;Ei erityisryhmää;Kerrostalo;CITYCON OYJ;Kaupunki;920;4,03674203;1,644955127;1,5
2720;47277;5;2004-11-26 00:00:00;473 Mellunmäki;4733;1570;0.0;15;2007.0;2010;2011;4.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Ei erityisryhmää;Rivitalo;ATT;Kaupunki;970;2,6411054;0,588188926;1,25
2722;40023;1;1975-06-05 00:00:00;401 Siltamäki;4013;204;0.0;1;1980.0;2001;2001;21.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;OMATOIMINEN RAK.;Kaupunki;740;2,93341527;0,759490658;5,25
2723;35081;3;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2007;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;3,75
2724;35081;4;2005-03-11 00:00:00;353 Tuomarinkartano;3530;174;0.0;1;2005.0;2007;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;3,75
2725;35081;5;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;2;2005.0;2007;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;3,75
2726;35081;6;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2007;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;3,75
2727;35081;7;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2008;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;4,75
2728;35081;8;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2009;2010;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;5
2729;35081;9;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2007;2009;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;3,75
2730;35081;10;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2007;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;3,75
2731;35081;11;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2007;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;3,75
2732;35081;12;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2007;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;3,75
2733;35081;13;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2012;2013;8.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;2
2734;35083;1;2005-03-11 00:00:00;353 Tuomarinkartano;3530;167;0.0;1;2005.0;2008;2009;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;4,75
2735;35083;2;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2011;2012;7.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;1,5
2736;35083;3;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2007;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;3,75
2737;35083;4;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2013;2014;9.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;0,75
2738;35083;5;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2008;2009;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;4,75
2739;35083;6;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2007;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;3,75
2740;35080;2;2005-03-11 00:00:00;353 Tuomarinkartano;3530;169;0.0;1;2005.0;2008;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;4,75
2741;35080;3;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2008;2009;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;4,75
2742;35080;4;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2012;2012;7.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;2
2743;35080;5;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2010;2010;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;1,25
2744;35080;6;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2008;2009;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;4,75
2745;35080;7;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2008;2009;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;4,75
2746;35083;7;2005-03-11 00:00:00;353 Tuomarinkartano;3530;175;0.0;1;2005.0;2007;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;3,75
2747;35083;8;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2007;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;3,75
2748;35084;1;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2008;2009;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;4,75
2749;35084;2;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2007;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;3,75
2750;35085;1;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2008;2009;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;4,75
2751;35085;2;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2007;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;3,75
2752;35085;3;2005-03-11 00:00:00;353 Tuomarinkartano;3530;170;0.0;1;2005.0;2007;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;3,849290882;1,499596493;3,75
2760;40178;6;2015-03-06 00:00:00;401 Siltamäki;4015;125;0;1;2018.0;2019;2019;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;OMATOIMINEN RAK.;Kaupunki;740;2,93341527;0,759490658;-0,25
2767;45272;7;2003-10-03 00:00:00;451 Vartioharju;4511;304;0.0;2;2003.0;2004;2006;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;950;4,011226385;0,180441803;2,25
2768;29049;6;2003-10-24 00:00:00;291 Etelä-Haaga;2913;1400;0.0;9;2003.0;2004;2005;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;A. PALMBERG OY AB;Kaupunki myy / myynyt;320;4,976107362;0,137404862;2,25
2769;29155;1;2008-04-04 00:00:00;293 Pohjois-Haaga;2934;3800;300.0;49;2008.0;2010;2014;6.0;Välimuoto;Asumisoikeusasuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Ei erityisryhmää;Kerrostalo;TA-YHTIÖT;Kaupunki;400;4,56837598;0,257033001;1,25
2770;47233;4;2008-03-14 00:00:00;472 Vesala;4724;240;0.0;2;2012.0;2013;2014;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;NOTOCOM OY;Kaupunki;970;2,6411054;-0,200216982;0,75
